"","individual_article","targeted_words","frequencey","total_counts"
"1","X12.000.Years.of.fire.regime.drivers.in.pdf","human",28,5731
"2","X2022.12.30.NW.Biomes.to.Anthromes.Technical.Paper.pdf","human",197,5731
"3","A.450.Million.Year.History.of.Fire.pdf","human",1,5731
"4","A.new.Dead.Sea.pollen.record.reveals.the.last.glacial.paleoenvironment.of.the.southern.Levant.pdf","human",22,5731
"5","A.Novel.Approach.to.Carrying.Capacity_.From.a.priori.Prescription.to.a.posteriori.Derivation.Based.on.Underlying.Mechanisms.and.Dynamics.pdf","human",210,5731
"6","A.review.of.challenges.to.determining.and.demonstrating.efficiency.of.large.fire.management.pdf","human",10,5731
"7","A.systematic.review.of.factors.affecting.wildlife.survival.during.rehabilitation.and.release.pdf","human",14,5731
"8","A.review.of.study.methods.and.progress.on.hominid.use.of.fire.pdf","human",0,5731
"9","Adaptation.Strategies.and.Approaches.for.Managing.Fire.in.a.Changing.Climate.pdf","human",23,5731
"10","Aerosol.Impacts.on.Climate.and.Biogeochemistry.pdf","human",22,5731
"11","An.Overview.of.Forest.Fire.Regimes.and.Their.Constitution.Basis.pdf","human",0,5731
"12","Anthropology.and.the.Anthropocene_.Criticisms..Experiments..and.Collaborations.pdf","human",73,5731
"13","archibald.2016.managing.the.human.component.of.fire.regimes.lessons.from.africa.pdf","human",50,5731
"14","Assessing.Landscape.Vulnerability.to.Wildfire.in.the.USA.pdf","human",12,5731
"15","Astrobiology_.The.Study.of.the.Living.Universe.pdf","human",33,5731
"16","Broad.Scale.Monitoring.of.Live.Fuel.Moisture.pdf","human",8,5731
"17","Can.trophic.rewilding.reduce.the.impact.pdf","human",10,5731
"18","Centering.Indigenous.Voices_.The.Role.of.Fire.in.the.Boreal.Forest.of.North.America.pdf","human",47,5731
"19","Changing.fire.regimes.in.East.and.Southern.Africa.s.savanna.protected.areas_.opportunities.and.challenges.for.indigenous.led.savanna.burning.emissions.abatement.schemes.pdf","human",22,5731
"20","Climate.vegetation.fire.interactions.and.feedbacks_.trivial.detail.or.major.barrier.to.projecting.the.future.of.the.Earth.system_.pdf","human",31,5731
"21","Climate.Adaptation.of.Tropical.Cattle.pdf","human",2,5731
"22","Climate.and.wildfires.in.the.North.American.boreal.forest.pdf","human",0,5731
"23","Climate.Change.and.Forests.pdf","human",3,5731
"24","Climate.Change.and.Future.Fire.Regimes_.Examples.from.California.pdf","human",16,5731
"25","Climate.change.impact.on.future.wildfire.danger.and.activity.in.southern.Europe_.a.review.pdf","human",15,5731
"26","Climate.change.vulnerability.and.adaptation.in.the.managed.Canadian.boreal.forest.pdf","human",47,5731
"27","Climate.change..extreme.weather.events.pdf","human",12,5731
"28","CLIMATE.ECONOMICS..THE.STATE.OF.THE.ART.pdf","human",77,5731
"29","Climate.Extremes.and.Compound.Hazards.in.a.Warming.World.pdf","human",49,5731
"30","Climate.influences.on.future.fire.severity_.a.synthesis.of.climate.fire.interactions.and.impacts.on.fire.regimes..high.severity.fire..and.forests.in.the.western.United.States.pdf","human",6,5731
"31","Climate..Environment..and.Disturbance.History.Govern.Resilience.of.Western.North.American.Forests.pdf","human",29,5731
"32","Coexisting.with.wildfire_.Achievements.and.challenges.for.a.radical.social.ecological.transformation.in.Catalonia..Spain..pdf","human",9,5731
"33","Comparison.of.Wildfire.Meteorology.and.Climate.at.the.Adriatic.Coast.and.Southeast.Australia.pdf","human",14,5731
"34","Consequences.of.climate.change.pdf","human",5,5731
"35","Considering.regeneration.failure.in.the.context.of.changing.climate.and.disturbance.regimes.in.western.North.America.pdf","human",6,5731
"36","Critical.Geoarchaeology_.From.Depositional.Processes.to.the.Sociopolitics.of.Earthen.Life.pdf","human",79,5731
"37","CURRENT.UNCERTAINTIES.IN.ASSESSING.AEROSOL.EFFECTS.ON.CLIMATE.pdf","human",11,5731
"38","Current.Wildland.Fire.Patterns.and.Challenges.in.Europe_.A.Synthesis.of.National.Perspectives.pdf","human",32,5731
"39","Degradation.and.Recovery.in.Changing.Forest.Landscapes_.A.Multiscale.Conceptual.Framework.pdf","human",41,5731
"40","Demographic.Transitions.and.Modernity.pdf","human",12,5731
"41","Denitrification..Anammox..and.N2.Production.in.Marine.Sediments.pdf","human",0,5731
"42","Designer.Ecosystems_.Incorporating.Design.Approaches.into.Applied.Ecology.pdf","human",71,5731
"43","Disturbance..Complexity..Scale_.New.Approaches.to.the.Study.of.Human.Environment.Interactions.pdf","human",73,5731
"44","Drought.and.Fire.in.the.Western.USA_.Is.Climate.Attribution.Enough_.pdf","human",30,5731
"45","Droughts..Wildfires..and.Forest.Carbon.Cycling_.A.Pantropical.Synthesis.pdf","human",6,5731
"46","Dry.Deposition.of.Atmospheric.Aerosols_.Approaches..Observations..and.Mechanisms.pdf","human",5,5731
"47","Ecological.Mechanisms.Underlying.Arthropod.Species.Diversity.in.Grasslands.pdf","human",3,5731
"48","Ecology.and.evolution.of.pine.life.histories.pdf","human",1,5731
"49","Ecology.and.long.term.history.of.fire.in.New.Zealand...Copy..2..pdf","human",47,5731
"50","Ecology.and.long.term.history.of.fire.in.New.Zealand...Copy.pdf","human",47,5731
"51","Ecology.and.long.term.history.of.fire.in.New.Zealand.pdf","human",47,5731
"52","Economic.drivers.of.global.fire.activity_.A.critical.review.using.the.DPSIR.framework.pdf","human",53,5731
"53","Ecosystem.Services.from.Tropical.Forests_.Review.of.Current.Science.pdf","human",54,5731
"54","Effects.of.Evolution..Ecology..and.Economy.on.Human.Diet_.Insights.from.Hunter.Gatherers.and.Other.Small.Scale.Societies.pdf","human",52,5731
"55","Environmental.Security.and.the.Anthropocene_.Law..Criminology..and.International.Relations.pdf","human",86,5731
"56","Ever.Since.Owen_.Changing.Perspectives.on.the.Early.Evolution.of.Tetrapods.pdf","human",0,5731
"57","Evolution.in.the.Anthropocene_.Informing.Governance.and.Policy.pdf","human",67,5731
"58","Evolutionary.Ecology.of.Fire.pdf","human",12,5731
"59","Evolutionary.Legacy.Effects.on.Ecosystems_.Biogeographic.Origins..Plant.Traits..and.Implications.for.Management.in.the.Era.of.Global.Change.pdf","human",13,5731
"60","Fire.in.Mediterranean.Climate.Ecosystems.A.Comparative.Overview.pdf","human",3,5731
"61","Fire.smart.management.of.forest.landscapes.in.the.Mediterranean.basin.under.global.change.pdf","human",3,5731
"62","Fire.vegetation.interactions.during.the.last.11.000.years.in.boreal.and.cold.temperate.forests.of.Fennoscandia.pdf","human",7,5731
"63","Fire.induced.deforestation.in.drought.prone.Mediterranean.forests_.drivers.and.unknowns.from.leaves.to.communities.pdf","human",3,5731
"64","Fire.vegetation.feedbacks.and.alternative.states_.common.mechanisms.of.temperate.forest.vulnerabilit.pdf","human",31,5731
"65","Fire.as.a.Fundamental.Ecological.Process_.Research.Advances.and.Frontiers.pdf","human",40,5731
"66","Fire.effects.on.soils_.the.human.dimension.pdf","human",63,5731
"67","Fire.in.the.Earth.System.pdf","human",15,5731
"68","Fire.performance.of.timber.review.for.use.in.wildland.urban.interfaces.pdf","human",0,5731
"69","Fire..grazing.and.the.evolution.of.New.Zealand.grasses.pdf","human",10,5731
"70","Fire..herbivores.and.the.management.of.temperate.Eucalyptus.savanna.in.Tasmania_.Introducing.the.Beaufront.fire...mammalian.herbivore.field.experiment.pdf","human",4,5731
"71","Fires.and.rates.of.change.in.the.temperate.rainforests.of.northwestern.Patagonia.since...x223C.18.ka.pdf","human",59,5731
"72","Fires.in.the.Cenozoic_.a.late.flowering.of.flammable.ecosystems.pdf","human",1,5731
"73","firesincoastal.pdf","human",20,5731
"74","fourthbudget_supporting_research_reviewofclimatescience_developements_since_ippc_ar4.libre.pdf","human",61,5731
"75","G__Journals_Client.07_WF_18.5._Pagination_Tex_WF08187.dvi.pdf","human",53,5731
