"","frequency"
"fire",19652
"climate",10091
"change",7554
"forest",7226
"species",5601
"global",5373
"use",4871
"can",4823
"new",4139
"forests",4037
"management",3999
"human",3641
"ﬁre",3584
"also",3568
"may",3558
"vegetation",3446
"changes",3445
"effects",3339
"research",3290
"land",3219
"fires",3195
"science",3079
"university",2966
"carbon",2951
"data",2801
"ecology",2683
"future",2679
"plant",2655
"rev",2632
"ecosystems",2608
"ecol",2589
"area",2583
"fuel",2518
"environmental",2506
"areas",2478
"impacts",2448
"time",2421
"wwwannualreviewsorg",2415
"ecological",2411
"doi",2409
"studies",2380
"landscape",2379
"models",2365
"water",2332
"review",2318
"large",2300
"high",2287
"environ",2279
"will",2279
"many",2173
"years",2138
"model",2136
"increase",2134
"downloaded",2072
"conditions",2065
"provided",2030
"tech",2029
"however",2019
"texas",1992
"sci",1991
"annu",1990
"ecosystem",1979
"one",1924
"regimes",1922
"figure",1921
"natural",1910
"access",1904
"different",1856
"wildfire",1831
"emissions",1825
"activity",1804
"used",1802
"study",1791
"tropical",1789
"risk",1780
"system",1769
"systems",1748
"burning",1713
"across",1706
"soil",1695
"important",1693
"increased",1692
"example",1687
"nature",1680
"lubbock",1651
"north",1643
"personal",1639
"using",1635
"earth",1631
"journal",1599
"plants",1586
"evolution",1573
"wildland",1572
"biodiversity",1552
"potential",1549
"analysis",1526
"early",1517
"range",1507
"spatial",1502
"australia",1495
"including",1466
"temperature",1466
"within",1465
"western",1464
"local",1462
"usa",1450
"processes",1447
"recent",1439
"tree",1439
"population",1438
"evidence",1437
"impact",1429
"patterns",1422
"burned",1421
"see",1419
"world",1414
"history",1408
"regions",1369
"health",1355
"northern",1350
"past",1340
"low",1337
"press",1332
"well",1331
"res",1311
"likely",1307
"conservation",1297
"two",1281
"diversity",1272
"atmospheric",1271
"national",1269
"although",1267
"landscapes",1256
"environment",1241
"southern",1238
"development",1230
"south",1229
"current",1225
"growth",1222
"associated",1219
"anthropocene",1209
"states",1208
"role",1202
"based",1196
"surface",1193
"dynamics",1187
"social",1184
"response",1173
"number",1172
"interactions",1170
"due",1166
"zealand",1166
"regional",1163
"dry",1162
"often",1161
"resources",1158
"united",1158
"annual",1157
"biomass",1149
"communities",1148
"events",1129
"warming",1128
"effect",1118
"knowledge",1117
"since",1100
"air",1092
"increasing",1089
"drought",1083
"frequency",1077
"boreal",1072
"even",1069
"indigenous",1068
"scale",1067
"energy",1066
"policy",1063
"available",1059
"weather",1057
"understanding",1054
"higher",1053
"fig",1050
"van",1050
"factors",1044
"production",1040
"economic",1033
"levels",1031
"america",1029
"distribution",1023
"found",1019
"increases",1019
"state",1019
"values",1018
"approach",1011
"trees",1008
"trends",1006
"crossref",1004
"precipitation",1000
