"","individual_article","targeted_words","frequencey","total_counts"
"1","..data.articles.12.000.Years.of.fire.regime.drivers.in.pdf","human",28,5731
"2","..data.articles.2022.12.30.NW.Biomes.to.Anthromes.Technical.Paper.pdf","human",197,5731
"3","..data.articles.A.450.Million.Year.History.of.Fire.pdf","human",1,5731
"4","..data.articles.A.new.Dead.Sea.pollen.record.reveals.the.last.glacial.paleoenvironment.of.the.southern.Levant.pdf","human",22,5731
"5","..data.articles.A.Novel.Approach.to.Carrying.Capacity_.From.a.priori.Prescription.to.a.posteriori.Derivation.Based.on.Underlying.Mechanisms.and.Dynamics.pdf","human",210,5731
"6","..data.articles.A.review.of.challenges.to.determining.and.demonstrating.efficiency.of.large.fire.management.pdf","human",10,5731
"7","..data.articles.A.systematic.review.of.factors.affecting.wildlife.survival.during.rehabilitation.and.release.pdf","human",14,5731
"8","..data.articles.A.review.of.study.methods.and.progress.on.hominid.use.of.fire.pdf","human",0,5731
"9","..data.articles.Adaptation.Strategies.and.Approaches.for.Managing.Fire.in.a.Changing.Climate.pdf","human",23,5731
"10","..data.articles.Aerosol.Impacts.on.Climate.and.Biogeochemistry.pdf","human",22,5731
"11","..data.articles.An.Overview.of.Forest.Fire.Regimes.and.Their.Constitution.Basis.pdf","human",0,5731
"12","..data.articles.Anthropology.and.the.Anthropocene_.Criticisms..Experiments..and.Collaborations.pdf","human",73,5731
"13","..data.articles.archibald.2016.managing.the.human.component.of.fire.regimes.lessons.from.africa.pdf","human",50,5731
"14","..data.articles.Assessing.Landscape.Vulnerability.to.Wildfire.in.the.USA.pdf","human",12,5731
"15","..data.articles.Astrobiology_.The.Study.of.the.Living.Universe.pdf","human",33,5731
"16","..data.articles.Broad.Scale.Monitoring.of.Live.Fuel.Moisture.pdf","human",8,5731
"17","..data.articles.Can.trophic.rewilding.reduce.the.impact.pdf","human",10,5731
"18","..data.articles.Centering.Indigenous.Voices_.The.Role.of.Fire.in.the.Boreal.Forest.of.North.America.pdf","human",47,5731
"19","..data.articles.Changing.fire.regimes.in.East.and.Southern.Africa.s.savanna.protected.areas_.opportunities.and.challenges.for.indigenous.led.savanna.burning.emissions.abatement.schemes.pdf","human",22,5731
"20","..data.articles.Climate.vegetation.fire.interactions.and.feedbacks_.trivial.detail.or.major.barrier.to.projecting.the.future.of.the.Earth.system_.pdf","human",31,5731
"21","..data.articles.Climate.Adaptation.of.Tropical.Cattle.pdf","human",2,5731
"22","..data.articles.Climate.and.wildfires.in.the.North.American.boreal.forest.pdf","human",0,5731
"23","..data.articles.Climate.Change.and.Forests.pdf","human",3,5731
"24","..data.articles.Climate.Change.and.Future.Fire.Regimes_.Examples.from.California.pdf","human",16,5731
